7 0 -16 -27 -44 -45 -49 -48 -48 -43 -30 -35 -35 -31 -32 -34
-34 -39 -39 -39 -39 -40 -40 -40 -39 -39 -39 -40 -40 -42 -42 -41
-41 -41 -41 -40 -39 -38 -38 -37 -38 -38 -38 -38 -37 -37 -38 -39
-39 -40 -40 -40 -40 -40 -40 -40 -40 -41 -41 -40 -41 -41 -41 -41
-41 -41 -41 -41 -41 -41 -41 -41 -41 -41 -41 -41 -41 -41 -41 -41
-41 -41 -40 -40 -41 -40 -40 -41 -42 -42 -43 -43 -42 -42 -41 -41
-41 -41 -42 -42 -41 -41 -41 -40 -40 -40 -39 -40 -40 -40 -40 -40
-40 -40 -41 -41 -41 -41 -41 -41 -40 -40 -40 -40 -40 -40 -40 -40
-40 -40 -40 -39 -39 -40 -39 -39 -39 -39 -39 -39 -38 -38 -38 -38
-38 -38 -38 -38 -38 -38 -38 -38 -38 -39 -38 -38 -39 -38 -39 -38
-38 -39 -39 -39 -39 -39 -39 -39 -39 -39 -39 -39 -39 -44 -46 -49
-49 -54 -54 -53 -55 -56 -56 -59 -59 -55 -55 -58 -60 -60 -57 -56
-56 -56 -56 -56 -56 -56 -56 -56 -57 -58 -57 -55 -53 -53 -53 -53
-53 -54 -55 -58 -62 -63 -62 -63 -61 -59 -57 -63 -59 -52 -49 -42
-42 -37 -33 -35 -33 -28 -34 -30 -32 -31 -31 -33 -32 -32 -34 -31
-31 -31 -34 -25 -22 -21 -27 -29 -35 -37 -38 -44 -37 -35 -37 -37
-37 -42 -42 -43 -44 -41 -46 -42 -41 -44 -44 -46 -42 -46 -41 -43
-43 -41 -40 -41 -43 -42 -43 -46 -42 -44 -46 -48 -47 -46 -41 -38
-38 -35 -32 -31 -32 -34 -36 -38 -42 -44 -45 -47 -47 -46 -47 -51
-51 -54 -58 -61 -65 -68 -69 -68 -66 -62 -62 -61 -61 -59 -57 -54
-54 -51 -49 -45 -45 -43 -44 -44 -45 -49 -49 -45 -45 -46 -51 -53
-53 -56 -56 -55 -56 -58 -59 -59 -59 -61 -58 -57 -54 -53 -52 -52
-52 -51 -49 -50 -55 -61 -57 -58 -62 -63 -61 -63 -60 -58 -58 -58
-58 -58 -56 -56 -52 -52 -49 -50 -48 -49 -50 -50 -47 -45 -46 -48
-48 -51 -57 -52 -51 -49 -49 -48 -49 -49 -57 -54 -48 -48 -52 -51
-51 -51 -50 -52 -49 -48 -42 -42 -38 -37 -33 -36 -42 -44 -44 -46
-46 -45 -45 -45 -42 -43 -47 -49 -49 -51 -53 -49 -48 -45 -45 -45
-45 -47 -48 -50 -51 -53 -54 -54 -51 -55 -59 -55 -52 -52 -51 -52
-52 -53 -53 -58 -61 -66 -68 -71 -65 -63 -59 -58 -58 -57 -56 -57
-57 -57 -56 -56 -55 -56 -57 -55 -54 -54 -55 -56 -57 -58 -58 -57
-57 -57 -56 -55 -55 -59 -58 -59 -60 -59 -61 -67 -66 -63 -63 -62
-62 -59 -58 -58 -60 -63 -65 -66 -64 -57 -52 -55 -55 -55 -52 -52
-52 -52 -50 -47 -47 -48 -49 -53 -64 -61 -65 -62 -58 -55 -45 -41
-41 -41 -51 -55 -60 -64 -68 -69 -74 -74 -74 -71 -68 -59 -60 -55
-55 -55 -52 -54 -54 -54 -62 -60 -64 -64 -66 -79 -78 -73 -81 -84
-84 -82 -76 -71 -65 -58 -55 -43 -49 -49 -51 -48 -55 -57 -50 -50
-50 -52 -50 -53 -54 -51 -51 -47 -38 -35 -32 -29 -28 -31 -36 -44
-44 -46 -45 -44 -40 -37 -29 -30 -26 -28 -30 -34 -35 -35 -32 -29
-29 -30 -32 -32 -30 -28 -24 -24 -24 -20 -20 -21 -21 -25 -25 -25
-25 -23 -25 -25 -26 -27 -27 -28 -30 -33 -34 -34 -34 -34 -33 -32
-32 -29 -29 -28 -28 -28 -28 -28 -29 -29 -29 -29 -28 -27 -28 -28
-28 -28 -27 -27 -26 -26 -25 -26 -26 -27 -28 -29 -30 -31 -31 -29
-29 -28 -29 -31 -32 -31 -31 -32 -33 -33 -34 -30 -29 -29 -29 -28
-28 -27 -27 -28 -27 -26 -26 -25 -24 -24 -24 -24 -23 -23 -23 -23
-23 -24 -25 -26 -26 -26 -25 -25 -25 -25 -23 -22 -23 -23 -23 -21
-21 -20 -21 -21 -21 -22 -23 -23 -26 -23 -25 -25 -28 -29 -31 -31
-31 -30 -28 -27 -29 -31 -41 -45 -49 -47 -43 -45 -45 -44 -42 -42
-42 -42 -45 -45 -45 -45 -50 -50 -52 -54 -54 -56 -57 -55 -52 -51
-51 -49 -49 -49 -49 -50 -48 -36 -35 -31 -29 -27 -28 -27 -28 -29
-29 -28 -30 -33 -34 -33 -32 -28 -28 -27 -26 -25 -25 -26 -27 -28
-28 -30 -31 -33 -35 -34 -33 -34 -31 -31 -31 -34 -40 -41 -41 -41
-41 -43 -43 -44 -46 -47 -50 -51 -50 -51 -50 -49 -49 -47 -46 -48
-48 -49 -49 -50 -54 -58 -57 -56 -55 -55 -55 -53 -52 -51 -50 -50
-50 -49 -48 -45 -44 -44 -44 -42 -43 -44 -45 -46 -44 -42 -34 -33
-33 -33 -32 -32 -32 -40 -40 -39 -33 -32 -33 -36 -36 -39 -42 -40
-40 -37 -32 -28 -21 -21 -24 -24 -22 -16 -16 -15 -15 -16 -15 -18
-18 -25 -30 -41 -43 -46 -46 -44 -43 -46 -48 -50 -46 -43 -41 -40
-40 -38 -37 -36 -36 -35 -34 -35 -37 -38 -40 -40 -39 -39 -43 -42
-42 -38 -40 -41 -45 -49 -52 -52 -48 -46 -42 -39 -33 -29 -27 -26
-26 -27 -29 -30 -28 -28 -27 -29 -34 -34 -35 -37 -41 -51 -53 -60
-60 -60 -51 -39 -36 -31 -30 -31 -30 -25 -28 -24 -15 -12 -8 -6
-6 4 4 6 7 7 9 8 4 1 -5 -13 -3 -7 -9 -12
-12 -11 -10 -7 -1 -5 -7 -7 -4 -6 -6 -5 -9 -13 -12 -15
-15 -13 -12 -15 -20 -24 -25 -26 -31 -35 -39 -41 -40 -35 -32 -28
-28 -28 -28 -28 -30 -31 -32 -35 -36 -45 -47 -41 -42 -40 -38 -35
-35 -33 -32 -35 -42 -41 -55 -51 -56 -53 -49 -39 -35 -29 -26 -24
-24 -21 -18 -15 -25 -27 -33 -35 -39 -40 -41 -41 -41 -39 -37 -33
-33 -33 -32 -32 -32 -34 -34 -34 -33 -34 -35 -38 -36 -34 -35 -35
-35 -36 -33 -33 -33 -32 -33 -32 -34 -32 -33 -32 -29 -33 -33 -31
-31 -26 -37 -38 -38 -33 -32 -32 -32 -35 -36 -38 -40 -40 -39 -39
-39 -36 -31 -23 -21 -8 -3 2 8 16 21 26 33 38 44 48
48 52 56 59 55 54 54 53 52 54 55 56 54 65 21 3
3 -2 -26 -128 11 101 69 46 41 48 53 54 55 58 58 57
57 56 56 57 56 56 56 57 53 57 56 49 47 59 56 64
64 55 52 62 60 53 50 56 61 54 50 57 32 70 56 56
56 54 54 55 54 52 59 58 61 60 52 53 53 50 56 51
51 55 52 51 44 51 37 24 26 18 24 29 38 38 54 39
39 50 59 47 67 41 39 42 39 35 26 19 29 20 10 19
19 14 16 19 15 10 11 6 87 47 43 29 34 34 29 28
28 14 4 -6 -11 -8 -15 -11 -7 -7 0 -2 -11 -11 -15 -22
